User,Date Created,Tweets
Stevelee987,2023-02-28 23:58:45+00:00,@AppleSupport any tips to stop my iPhone 13 Pro from trying to go into macro mode on the telephoto camera? It just won’t focus and drives me insane 😡 https://t.co/B6o2ebAnC8
AppleSupport,2023-02-28 23:57:11+00:00,@tejbirbedi Thanks for tagging us! We’d be happy to assist with your Mac today. Send us a DM to get started. https://t.co/GDrqU22YpT
AppleSupport,2023-02-28 23:51:56+00:00,"@TheJShield We can help look into this with you. To help us get a better understanding, let us know in DM which device you have the Beats paired with. We’ll meet you there. https://t.co/GDrqU22YpT"
theITrebel,2023-02-28 23:48:47+00:00,@samuel_clements @JonesyChris This is exactly what I’m seeing with using 8.8.8.8 and no VPN. Clearly it’s a problem for many that @AppleSupport needs to fix. https://t.co/eD8rEYmkdh
AppleSupport,2023-02-28 23:45:55+00:00,@Mikeperezc We can help look into what’s happening with your iPhone. Send us a DM. We’ll meet you there to gather more details. https://t.co/GDrqU22YpT
TheJShield,2023-02-28 23:43:57+00:00,"There is nothing more annoying than the static white noise in my right @beatsbydre Studio Bud whenever I turn on Noise Cancelling mode 

How can I fix this @AppleSupport?"
AppleSupport,2023-02-28 23:38:48+00:00,"@_ilas_aiban Thanks for reaching out! 

If there’s features you’d like to see added to iOS, we can recommend leaving feedback here: https://t.co/ap3ASkCfXe https://t.co/GDrqU22YpT"
AppleSupport,2023-02-28 23:36:25+00:00,@krysticoll We have received your DM and will continue from there.
A_olawale1,2023-02-28 23:34:11+00:00,"@MrRobiiin @AppleSupport Tell the person to log out/in of phones Apple ID. It will work, had similar issues previously.

By the way I need a slot also"
Mikeperezc,2023-02-28 23:34:09+00:00,@kunaldudhalkar @Apple @AppleSupport Have they fix it?? I got the same issue 🤬🤯 https://t.co/kdKVDofKyo
mora_hlc,2023-02-28 23:26:44+00:00,"@AppleSupport The apple support account is not allowing me to send DMs. My mac doesn't show an alert. I have to plug it in to turn it on once it shuts down, and it first shows the battery to be empty but after a while the battery symbol indicates 57%"
krysticoll,2023-02-28 23:24:37+00:00,"Hey @Apple @AppleSupport  , I have an apple 13 pro and was working perfectly until last night after the new update. Now I can’t open the camera to take videos or photos because the phone overheats and the camera/video won’t focus 😡."
AppleSupport,2023-02-28 23:24:02+00:00,"@beautysheis570 We want to help with your AirPods. Does this happen when you connect them to a different device? If so, try resetting them with the steps here: https://t.co/bHKySjdt6W 

Send us a DM, so we can work together on a solution. https://t.co/GDrqU22YpT"
AppleSupport,2023-02-28 23:23:39+00:00,"@Jpmillernerd We assure you we can provide some information on Find My issues. First, if you feel your Apple ID has been compromised, be sure to reset the password and follow this article - https://t.co/tBGVwonw83 Let us know in DM if you run into an issue. https://t.co/GDrqU23wfr"
beautysheis570,2023-02-28 23:13:04+00:00,@AppleSupport Both AirPods work but only one plays at a time. How can I resolve?
AppleSupport,2023-02-28 23:06:38+00:00,"@mora_hlc Got it. To continue narrowing this down, when you start your Mac back up again, does it show an alert similar to your Mac restarted because of a problem? Like this alert: https://t.co/7QIWlWAkIE 

Try to DM to let us know, and we’ll meet you there. https://t.co/GDrqU22YpT"
AppleSupport,2023-02-28 23:02:37+00:00,"@charliecange We’d like to understand more about the issue you mention. Please follow the link to DM us what exactly is wrong that is considered broken, and we’ll take a further look. https://t.co/GDrqU22YpT"
AppleSupport,2023-02-28 22:59:15+00:00,"@bmclyne Hi, thanks for reaching out to us about your Apple Watch. We are happy to look into this with you.  Does the issue persist after a standard restart of the device? While this is a simple step it may help with odd issues that come up. DM if the issue persists. https://t.co/GDrqU22YpT"
mora_hlc,2023-02-28 22:54:59+00:00,@AppleSupport I'm trying to send a DM but it is not letting me. I'm not using a specific app when this happens. The macbook is using macOS ventura 13.2.1
AppleSupport,2023-02-28 22:53:21+00:00,"@Mr_Fabo_ We want both your AirPods charging as expected and we’d like to help. Does the issue persist after a reset? https://t.co/bHKySjdt6W 

If so, DM us with which device you use with your AirPods and the software version it’s running. We’ll take a closer look: https://t.co/GDrqU22YpT"
AppleSupport,2023-02-28 22:40:43+00:00,"@dougbreezy315 That’s not the experience we wish for you to have with your iPhone. We’re happy to investigate further with you. To get started, meet us in DM and verify the specific iOS software installed according to Settings &gt; General &gt; About and the apps affected: https://t.co/GDrqU22YpT"
AdilHindistan,2023-02-28 22:33:39+00:00,"I own the stock and the car but I must say it, I am worried about @tesla A great product does not make a great company, you also need great customer service like @AppleSupport"
AppleSupport,2023-02-28 22:28:19+00:00,"@juuuknows We’ll do all we can to help. To help us get a better understanding, are the AirPods offline, or are they not appearing at all within Find My? Let us know in DM. https://t.co/GDrqU22YpT"
AppleSupport,2023-02-28 22:27:12+00:00,@Tall_Curves We’d love to help you figure this out. Follow the steps in https://t.co/Udf3mWoKiY to identify what you were charged for. Have more questions on those charges? Contact our team that can investigate further using the link at the bottom of that page.
AppleSupport,2023-02-28 22:21:49+00:00,"@monicadsan We can help with your iPhone. Do you already have the latest iOS and App Store updates installed? 

Please send us a Direct Message for more help: https://t.co/GDrqU22YpT"
hibrandonantony,2023-02-28 22:05:57+00:00,people can’t see me from my iphone 14 pro max. they only see “connecting” and i only see this shit. fix this crap. @AppleSupport https://t.co/BQKee8XC9C
hibrandonantony,2023-02-28 22:01:51+00:00,i just want to disable the shit all together and regain a pleasant user experience. @AppleSupport
hibrandonantony,2023-02-28 22:01:51+00:00,"if a call drops, i have to wait anywhere between 1-30+ minutes to call the person back because my devices will still think i’m on an active call. 

if i actually try to shareplay, it’s roughly a 20% chance of it working as expected. @AppleSupport"
hibrandonantony,2023-02-28 22:01:50+00:00,"hey, @AppleSupport. i’d very much appreciate the option to disable shareplay.

since it’s debut, it has made the facetime experience so poor and makes something as simple as watching tv a pain. i can’t do anything without it asking if i want to shareplay."
AppleSupport,2023-02-28 21:59:10+00:00,"@MikeDavidCool We do’t like to hear that your AirPods are missing. Steps that can help you locate them can be found on this article: https://t.co/BzrpmBKUhQ If you need further help, let us know in DM and we’ll do what we can. https://t.co/GDrqU22YpT"
AppleSupport,2023-02-28 21:52:01+00:00,"@KevinTh40948839 We’d like to take a further look into this. Check iCloud from a browser and let us know if the contacts appear in iCloud, and you can DM us your answer here: https://t.co/GDrqU22YpT"
AppleSupport,2023-02-28 21:48:17+00:00,@pricflair We want to help as much as possible. Send us a DM  so we can work together on a solution. https://t.co/GDrqU22YpT
AppleSupport,2023-02-28 21:47:16+00:00,"@amarkum68044062 Hey, we see you would like a specific feature. We can point you in the right direction. If that’s something you would like to see in the future, please provide feedback using the following link: https://t.co/eTPVYVFyd8"
ONELONEDOLPHIN,2023-02-28 21:45:06+00:00,"@AppleSupport there’s an egregious problem/w @alaskausafcu ‘s app choosing to target #disabled members w/unrealistic demands that we TEXT during login

THIS VIOLATES #ADAlaw 

SEVERAL months ago AKUSAFCU was ASKED to create a way we can #OptOut  

WHY hasn’t it been fixed by now? https://t.co/hcRbiejVEm"
amarkum68044062,2023-02-28 21:43:25+00:00,@AppleSupport hello dear sir/madam i have a great change  for new updation in iphone desingn i know it is weard but guve a chance to explain the change or give email so that i can share that thing with them it’s humble request
AppleSupport,2023-02-28 21:40:30+00:00,@spawnsteryvr Thanks for reaching out to us. We'd like to help you and look into this further. Please DM us what iPhone model are you using and which iOS version it is running to continue working on this. https://t.co/GDrqU22YpT
Altavistagoogle,2023-02-28 21:33:22+00:00,@TheJohnWilliams @AppleSupport Probably related. Seems to work now.
spawnsteryvr,2023-02-28 21:32:33+00:00,@AppleSupport How can I book an appointment online for Genius Bar?  Going around in circles on your website without getting where I want to go.  Used to be very easy to do this.  Now not so much. 2/2
shouldhateu,2023-02-28 21:32:24+00:00,@AppleSupport thanks so much🙏🏼🙏🏼
AppleSupport,2023-02-28 21:30:38+00:00,"@wilIyoucry Hey there! We’re happy to help with your AirPods. Try the troubleshooting steps listed in this support article: https://t.co/mVd37zPp6r 

Then meet us in DM with the results using the link below. https://t.co/GDrqU22YpT"
spawnsteryvr,2023-02-28 21:30:06+00:00,@AppleSupport anytime I pug in my EarPods or AirPods this pops up.  These songs are no longer on my phone and no matter what I do I can’t stop this from appearing.  How do I get it to stop? 1/2 https://t.co/vDHOotJwgO
svenasol,2023-02-28 21:27:32+00:00,@PatrickHeneise @AppleSupport Oh my.... That's pretty horrible.
TheJohnWilliams,2023-02-28 21:25:20+00:00,"@Altavistagoogle @AppleSupport I was able to get 1 game to play, but it isn't 3 hours long video. Instead it was only 90 mins showing only the game. I suspect the links in the app are linking to a video (game day broadcast) that doesn't exist anymore as they probably should've been replaced by game only video https://t.co/GRuFkUaDF5"
AbdulSa41217987,2023-02-28 21:23:02+00:00,"@AppleSupport Apple wallet is thief, stolen my $3000 , apple wallet is the biggest fraudulent app in the human history"
TheJohnWilliams,2023-02-28 21:21:31+00:00,"@Altavistagoogle @AppleSupport I have a season pass subscription. I suspect there's a problem on the backend since all other videos except full game replays work on the platform. If I had to guess, the link to the full game replays are bad. It looks like it's not the full broadcast that was shown on game days"
KleoMusicUK,2023-02-28 21:19:58+00:00,@AppleSupport Thanks very much. I've checked out your reply 😀
racsiv27,2023-02-28 21:16:50+00:00,@AppleSupport anyone else iPhone not charge last night?
AppleSupport,2023-02-28 21:14:51+00:00,"@bwaybaby91 We’re here to help! To help isolate the behavior, can you test to see if the MagSafe charger works with a different device? Let us know in DM to continue. https://t.co/GDrqU22YpT"
AppleSupport,2023-02-28 21:12:06+00:00,"@KleoMusicUK Absolutely! We received your DM, look for our reply there."
AppleSupport,2023-02-28 21:10:21+00:00,"@PatrickHeneise We want to help with Photos. Make sure you have covered the steps in this resource which is geared towards your issue: https://t.co/74DrctGkaK 

Send us a DM if you still need help, so we can work together on a solution. https://t.co/GDrqU22YpT"
AppleSupport,2023-02-28 21:07:21+00:00,"@MohaHumud We know that battery life is important, and we’d be happy to help. DM us and let us know if you’re referring to the iPhone 14 or the iPhone 13 that is having the issue. Please include which version of software you’re using as well. https://t.co/GDrqU22YpT"
MrRobiiin,2023-02-28 21:05:26+00:00,@AppleSupport Waiting for you there :)
KleoMusicUK,2023-02-28 21:03:19+00:00,"@AppleSupport Hi there,

I've just sent you a DM.

Thanks,
Kleocharis"
PatrickHeneise,2023-02-28 21:02:12+00:00,Seems like Photos App deleted my entire shared library. 14k photos. Nothing to be found in deleted items. No recovery options either 😱 @AppleSupport
AppleSupport,2023-02-28 21:02:05+00:00,"@Refone10 We’d like to help look into this. To help us get a better understanding, let us know in DM exactly what you’re seeing on the iPhone screen. For example, is the iPhone disabled, or something else? https://t.co/GDrqU22YpT"
AppleSupport,2023-02-28 21:00:05+00:00,"@seriqiqi We’re happy to investigate this concern with you. On which device are you using Markup, in which app, and on what type of file? Does this affect all files or only specific ones? Let us know in DM to continue: https://t.co/GDrqU22YpT"
MohaHumud,2023-02-28 20:59:42+00:00,"@AppleSupport Hi, I recently purchased an iPhone 14 pro max through apple store - less than a month. What is unusual and i had an iPhone 13 pro max is that battery already started degrading and I am feeling disappointed. I had it shipped to Saudi Arabia so"
AppleSupport,2023-02-28 20:56:57+00:00,"@god_munky We’d like to help. You are able to activate the screen saver immediately on your Apple TV and enjoy our spectacular screen savers whenever you’d like. Learn how to do that here: https://t.co/rcml0jQIMD For more help, meet us in DM. https://t.co/GDrqU22YpT"
AppleSupport,2023-02-28 20:50:57+00:00,"@mora_hlc We’d like to learn more about this issue you’re having with your new MacBook Air. Are you using a specific app when this occurs? Send us a DM with your macOS version, and we’ll look into this together. https://t.co/GDrqU22YpT"
AppleSupport,2023-02-28 20:50:04+00:00,"@nxlle0 We’re confident we can help! 

Have you checked both your device and iCloud storage? The following page may help: 

DM us with questions or if you need further assistance. https://t.co/GDrqU22YpT"
kcrusher,2023-02-28 20:50:00+00:00,"@AppleSupport Can you or can you not create a bootable installer on an M1 Mac? Should be simple enough to answer and provide instructions. I'm at a loss here - there are hundreds of posts about this issue, yet no resolution, even on Apple forums. Quick deploys are critical for IT."
techiesaarthak,2023-02-28 20:47:58+00:00,"The only regret i have after switching to iPhone is lack of tap to pay feature (in india).
Come on apple, its high time now!
@Apple @tim_cook @AppleSupport"
AppleSupport,2023-02-28 20:47:56+00:00,@KBittermanGross You’re welcome! We have received your DM and will respond to you there.
